Index,Year,Month,region,property_type,median_dom,median_sale_price
789,2021,11,Alpine County,Condo/Co-op,41.0,7900.0
1725,2012,9,Calaveras County,Multi-Family (2-4 Unit),0.0,8000.0
14744,2012,3,San Joaquin County,Townhouse,58.0,14500.0
796,2022,2,Alpine County,Condo/Co-op,71.0,15000.0
797,2022,2,Alpine County,All Residential,71.0,15000.0
20221,2012,6,Sutter County,Condo/Co-op,0.0,15199.0
14737,2012,2,San Joaquin County,Townhouse,104.0,18000.0
5659,2014,10,Lassen County,Single Family Residential,42.0,25000.0
5660,2014,10,Lassen County,All Residential,42.0,25000.0
4460,2012,7,Kern County,Townhouse,88.0,27000.0
14797,2013,2,San Joaquin County,Townhouse,57.0,27750.0
22592,2012,3,Yuba County,Condo/Co-op,0.0,28000.0
8213,2013,12,Modoc County,All Residential,72.0,28800.0
8214,2013,12,Modoc County,Single Family Residential,72.0,28800.0
5310,2014,8,Lake County,Multi-Family (2-4 Unit),196.0,30000.0
7744,2012,9,Merced County,Condo/Co-op,6.0,30000.0
7762,2013,2,Merced County,Condo/Co-op,68.0,31000.0
8216,2017,8,Modoc County,All Residential,198.0,31500.0
8215,2017,8,Modoc County,Single Family Residential,198.0,31500.0
14911,2015,3,San Joaquin County,Townhouse,7.0,33500.0
5626,2012,5,Lassen County,All Residential,0.0,34000.0
5625,2012,5,Lassen County,Single Family Residential,0.0,34000.0
5638,2013,6,Lassen County,All Residential,63.0,35000.0
5647,2014,1,Lassen County,Single Family Residential,33.0,35000.0
5252,2013,2,Lake County,Multi-Family (2-4 Unit),123.0,35000.0
22652,2014,5,Yuba County,Condo/Co-op,86.0,35000.0
5648,2014,1,Lassen County,All Residential,33.0,35000.0
5637,2013,6,Lassen County,Single Family Residential,63.0,35000.0
5644,2013,10,Lassen County,All Residential,105.0,36761.0
5643,2013,10,Lassen County,Single Family Residential,105.0,36761.0
5654,2014,4,Lassen County,All Residential,19.0,37500.0
5653,2014,4,Lassen County,Single Family Residential,19.0,37500.0
4467,2012,8,Kern County,Townhouse,17.0,38500.0
18353,2012,1,Shasta County,Single Family Residential,0.0,38849.5
18354,2012,1,Shasta County,All Residential,0.0,38849.5
7714,2012,2,Merced County,Condo/Co-op,53.0,38900.0
20292,2015,3,Sutter County,Condo/Co-op,10.0,39000.0
5665,2015,5,Lassen County,Single Family Residential,78.0,40000.0
20273,2014,6,Sutter County,Condo/Co-op,35.0,40000.0
5666,2015,5,Lassen County,All Residential,78.0,40000.0
7754,2012,12,Merced County,Condo/Co-op,14.0,40500.0
5639,2013,7,Lassen County,Single Family Residential,50.0,40800.0
5640,2013,7,Lassen County,All Residential,50.0,40800.0
5633,2012,12,Lassen County,All Residential,55.0,41350.0
5634,2012,12,Lassen County,Single Family Residential,55.0,41350.0
14791,2013,1,San Joaquin County,Townhouse,20.0,42000.5
5679,2017,9,Lassen County,All Residential,96.0,45000.0
21288,2012,3,Tuolumne County,All Residential,0.0,45000.0
20537,2012,12,Tehama County,Condo/Co-op,0.0,45000.0
3470,2012,3,Fresno County,Condo/Co-op,59.0,45000.0
5680,2017,9,Lassen County,Single Family Residential,96.0,45000.0
4451,2012,5,Kern County,Townhouse,3.0,45000.0
21287,2012,3,Tuolumne County,Single Family Residential,0.0,45000.0
5645,2013,12,Lassen County,Single Family Residential,57.0,45610.0
5646,2013,12,Lassen County,All Residential,57.0,45610.0
4483,2012,12,Kern County,Townhouse,7.0,46000.0
3478,2012,4,Fresno County,Condo/Co-op,38.0,46000.0
4453,2012,5,Kern County,Condo/Co-op,16.0,46000.0
5269,2013,7,Lake County,Condo/Co-op,21.0,46149.5
4439,2012,2,Kern County,Condo/Co-op,35.0,46500.0
4433,2012,1,Kern County,Townhouse,57.0,46900.0
5288,2013,12,Lake County,Condo/Co-op,56.0,47000.0
4487,2013,1,Kern County,Townhouse,8.0,48500.0
3490,2012,7,Fresno County,Condo/Co-op,39.0,49900.0
6587,2018,1,Madera County,Multi-Family (2-4 Unit),88.0,50000.0
20975,2013,10,Tulare County,Condo/Co-op,0.0,50000.0
5623,2012,4,Lassen County,Single Family Residential,0.0,50000.0
22604,2012,8,Yuba County,Multi-Family (2-4 Unit),0.0,50000.0
5624,2012,4,Lassen County,All Residential,0.0,50000.0
4491,2013,1,Kern County,Condo/Co-op,17.0,51250.0
11847,2013,2,Sacramento County,Townhouse,8.0,51500.0
14736,2012,1,San Joaquin County,Condo/Co-op,74.0,51900.0
5656,2014,6,Lassen County,Single Family Residential,39.0,52000.0
5655,2014,6,Lassen County,All Residential,39.0,52000.0
5636,2013,5,Lassen County,All Residential,70.0,52500.0
14757,2012,6,San Joaquin County,Townhouse,8.0,52500.0
5635,2013,5,Lassen County,Single Family Residential,70.0,52500.0
14795,2013,2,San Joaquin County,Condo/Co-op,27.0,52750.0
7734,2012,7,Merced County,Condo/Co-op,68.0,52950.0
6385,2013,3,Madera County,Condo/Co-op,52.0,53000.0
1150,2022,2,Amador County,Condo/Co-op,2.0,54900.0
5036,2016,1,Kings County,All Residential,52.0,55000.0
5037,2016,1,Kings County,Single Family Residential,52.0,55000.0
7776,2013,6,Merced County,Condo/Co-op,10.0,55000.0
7802,2014,1,Merced County,Condo/Co-op,92.0,55000.0
4493,2013,2,Kern County,Condo/Co-op,28.0,55000.0
7886,2015,10,Merced County,Townhouse,22.0,55000.0
4113,2017,3,Glenn County,Multi-Family (2-4 Unit),26.0,55000.0
6364,2012,8,Madera County,Townhouse,19.0,55000.0
14992,2016,9,San Joaquin County,Townhouse,6.0,55000.0
14759,2012,6,San Joaquin County,Condo/Co-op,54.0,55349.5
22749,2017,11,Yuba County,Multi-Family (2-4 Unit),0.0,56000.0
14748,2012,4,San Joaquin County,Condo/Co-op,60.0,56000.0
3485,2012,6,Fresno County,Condo/Co-op,40.0,56000.0
15014,2017,1,San Joaquin County,Townhouse,23.0,56500.0
7827,2014,7,Merced County,Condo/Co-op,17.0,56500.0
7709,2012,1,Merced County,Condo/Co-op,77.0,56872.5
14733,2012,1,San Joaquin County,Townhouse,96.0,57000.0
7747,2012,10,Merced County,Condo/Co-op,25.0,57050.0
20985,2014,2,Tulare County,All Residential,189.0,57500.0
20984,2014,2,Tulare County,Single Family Residential,189.0,57500.0
5238,2012,10,Lake County,Multi-Family (2-4 Unit),158.0,57750.0
7732,2012,6,Merced County,Condo/Co-op,40.0,58375.0
18368,2012,8,Shasta County,Single Family Residential,0.0,58565.0
18367,2012,8,Shasta County,All Residential,0.0,58565.0
14775,2012,10,San Joaquin County,Condo/Co-op,26.0,58900.0
11791,2012,3,Sacramento County,Townhouse,36.0,58950.0
3462,2012,1,Fresno County,Condo/Co-op,50.0,59000.0
1155,2022,4,Amador County,Townhouse,9.0,59000.0
3644,2015,10,Fresno County,Condo/Co-op,43.0,59000.0
801,2022,4,Alpine County,Townhouse,9.0,59000.0
5642,2013,9,Lassen County,Single Family Residential,85.0,59400.0
5641,2013,9,Lassen County,All Residential,85.0,59400.0
14743,2012,3,San Joaquin County,Condo/Co-op,49.0,59900.0
4604,2015,3,Kern County,Townhouse,76.0,60000.0
7993,2018,1,Merced County,Condo/Co-op,78.0,60000.0
6389,2013,4,Madera County,Condo/Co-op,1.0,60000.0
7882,2015,9,Merced County,Townhouse,18.0,60000.0
6347,2012,3,Madera County,Multi-Family (2-4 Unit),0.0,60000.0
4554,2014,4,Kern County,Townhouse,34.0,60000.0
14738,2012,2,San Joaquin County,Condo/Co-op,108.0,60250.0
5662,2015,2,Lassen County,Single Family Residential,38.0,61050.0
5661,2015,2,Lassen County,All Residential,38.0,61050.0
14806,2013,4,San Joaquin County,Condo/Co-op,34.0,61500.0
7874,2015,7,Merced County,Condo/Co-op,31.0,62000.0
8217,2020,6,Modoc County,All Residential,108.0,62000.0
8218,2020,6,Modoc County,Single Family Residential,108.0,62000.0
6338,2012,1,Madera County,Multi-Family (2-4 Unit),21.0,62000.0
4449,2012,4,Kern County,Condo/Co-op,31.0,62450.0
6487,2015,8,Madera County,Condo/Co-op,80.0,62750.0
4445,2012,3,Kern County,Condo/Co-op,67.0,63000.0
14790,2013,1,San Joaquin County,Condo/Co-op,24.0,63000.0
7888,2015,10,Merced County,Condo/Co-op,5.0,63800.0
11836,2012,12,Sacramento County,Townhouse,45.0,64000.0
6349,2012,4,Madera County,Multi-Family (2-4 Unit),8.0,64000.0
3480,2012,5,Fresno County,Condo/Co-op,28.0,64050.0
11811,2012,7,Sacramento County,Townhouse,48.0,64100.0
14761,2012,7,San Joaquin County,Condo/Co-op,18.0,64125.0
7723,2012,4,Merced County,Condo/Co-op,85.0,64500.0
4466,2012,8,Kern County,Condo/Co-op,40.0,65000.0
4510,2013,6,Kern County,Condo/Co-op,59.0,65000.0
19705,2013,4,Stanislaus County,Condo/Co-op,35.0,65000.0
5685,2018,1,Lassen County,All Residential,197.0,65000.0
5686,2018,1,Lassen County,Single Family Residential,197.0,65000.0
11899,2013,12,Sacramento County,Townhouse,6.0,65000.0
14773,2012,9,San Joaquin County,Condo/Co-op,49.0,65000.0
5703,2019,9,Lassen County,All Residential,28.0,65000.0
6409,2013,10,Madera County,Condo/Co-op,27.0,65000.0
5704,2019,9,Lassen County,Single Family Residential,28.0,65000.0
3550,2013,10,Fresno County,Condo/Co-op,32.0,65000.0
14801,2013,3,San Joaquin County,Condo/Co-op,34.0,65000.0
6427,2014,3,Madera County,Condo/Co-op,17.0,65000.0
3517,2013,2,Fresno County,Condo/Co-op,23.0,65500.0
3764,2018,3,Fresno County,Townhouse,16.0,66000.0
6363,2012,8,Madera County,Multi-Family (2-4 Unit),46.0,66000.0
3467,2012,2,Fresno County,Condo/Co-op,47.0,66000.0
14866,2014,5,San Joaquin County,Condo/Co-op,19.0,66500.0
7877,2015,8,Merced County,Condo/Co-op,45.0,67000.0
3491,2012,8,Fresno County,Condo/Co-op,21.0,67000.0
14962,2016,2,San Joaquin County,Townhouse,31.0,67000.0
6346,2012,3,Madera County,Condo/Co-op,115.0,67100.0
3658,2016,1,Fresno County,Condo/Co-op,30.0,67200.0
5664,2015,4,Lassen County,All Residential,66.0,67500.0
5663,2015,4,Lassen County,Single Family Residential,66.0,67500.0
5628,2012,8,Lassen County,All Residential,0.0,67700.0
5627,2012,8,Lassen County,Single Family Residential,0.0,67700.0
18378,2013,4,Shasta County,Single Family Residential,125.0,67900.0
18377,2013,4,Shasta County,All Residential,125.0,67900.0
19701,2013,3,Stanislaus County,Townhouse,6.0,68000.0
11781,2012,1,Sacramento County,Condo/Co-op,52.0,68000.0
14754,2012,5,San Joaquin County,Condo/Co-op,41.0,68300.0
3504,2012,11,Fresno County,Condo/Co-op,22.0,68500.0
14840,2013,12,San Joaquin County,Townhouse,4.0,68500.0
6413,2013,11,Madera County,Condo/Co-op,106.0,68500.0
14788,2012,12,San Joaquin County,Condo/Co-op,14.0,68750.0
3564,2014,2,Fresno County,Condo/Co-op,27.0,68750.0
11789,2012,2,Sacramento County,Condo/Co-op,66.0,69000.0
5143,2020,7,Kings County,Condo/Co-op,171.0,69000.0
3594,2014,9,Fresno County,Condo/Co-op,30.0,69750.0
14849,2014,1,San Joaquin County,Townhouse,53.0,70000.0
22674,2015,3,Yuba County,Multi-Family (2-4 Unit),0.0,70000.0
6423,2014,2,Madera County,Condo/Co-op,64.0,70000.0
5023,2014,3,Kings County,Single Family Residential,0.0,70000.0
5022,2014,3,Kings County,All Residential,0.0,70000.0
5258,2013,4,Lake County,Condo/Co-op,35.0,70000.0
18764,2014,2,Solano County,Townhouse,57.0,70000.0
18663,2012,2,Solano County,Condo/Co-op,41.0,70000.0
4481,2012,11,Kern County,Condo/Co-op,37.0,71000.0
5657,2014,7,Lassen County,Single Family Residential,96.0,71000.0
5658,2014,7,Lassen County,All Residential,96.0,71000.0
5652,2014,3,Lassen County,All Residential,35.0,71000.0
5651,2014,3,Lassen County,Single Family Residential,35.0,71000.0
6433,2014,4,Madera County,Condo/Co-op,10.0,72000.0
5253,2013,2,Lake County,Townhouse,123.0,72000.0
5696,2019,2,Lassen County,Single Family Residential,112.0,72125.0
5695,2019,2,Lassen County,All Residential,112.0,72125.0
11797,2012,4,Sacramento County,Condo/Co-op,55.0,72450.0
21312,2014,9,Tuolumne County,Single Family Residential,36.0,72500.0
6379,2013,1,Madera County,Condo/Co-op,286.0,72500.0
21311,2014,9,Tuolumne County,All Residential,36.0,72500.0
4486,2012,12,Kern County,Condo/Co-op,23.0,72500.0
11796,2012,4,Sacramento County,Townhouse,30.0,72750.0
6342,2012,2,Madera County,Multi-Family (2-4 Unit),8.0,72800.0
5168,2021,2,Kings County,Condo/Co-op,0.0,73000.0
14871,2014,6,San Joaquin County,Condo/Co-op,32.0,73000.0
11794,2012,3,Sacramento County,Condo/Co-op,52.0,73000.0
5225,2012,6,Lake County,Condo/Co-op,223.0,73000.0
18685,2012,7,Solano County,Townhouse,44.0,73000.0
14839,2013,11,San Joaquin County,Condo/Co-op,17.0,73500.0
4506,2013,5,Kern County,Townhouse,186.0,73500.0
4472,2012,9,Kern County,Condo/Co-op,43.0,73750.0
18668,2012,3,Solano County,Condo/Co-op,23.0,74000.0
5148,2020,9,Kings County,Condo/Co-op,84.0,74000.0
5158,2020,12,Kings County,Condo/Co-op,107.0,74000.0
6500,2015,12,Madera County,Condo/Co-op,21.0,74000.0
14897,2014,12,San Joaquin County,Condo/Co-op,30.0,74250.0
11831,2012,11,Sacramento County,Townhouse,56.0,74500.0
4508,2013,5,Kern County,Condo/Co-op,35.0,74750.0
4442,2012,3,Kern County,Townhouse,17.0,75000.0
14829,2013,9,San Joaquin County,Condo/Co-op,16.0,75000.0
7848,2014,12,Merced County,Condo/Co-op,59.0,75000.0
4031,2014,5,Glenn County,Multi-Family (2-4 Unit),10.0,75000.0
4540,2014,1,Kern County,Condo/Co-op,27.0,75000.0
5698,2019,4,Lassen County,Single Family Residential,159.0,75000.0
11816,2012,8,Sacramento County,Condo/Co-op,66.0,75000.0
5697,2019,4,Lassen County,All Residential,159.0,75000.0
15046,2017,8,San Joaquin County,Townhouse,13.0,75000.0
20597,2015,5,Tehama County,Condo/Co-op,46.0,75000.0
6568,2017,8,Madera County,Condo/Co-op,43.0,75000.0
6388,2013,3,Madera County,Multi-Family (2-4 Unit),58.0,75000.0
11804,2012,5,Sacramento County,Condo/Co-op,45.0,75000.0
4564,2014,6,Kern County,Condo/Co-op,21.0,75000.0
11820,2012,8,Sacramento County,Townhouse,50.0,75500.0
20344,2017,3,Sutter County,Condo/Co-op,0.0,75500.0
18713,2013,2,Solano County,Condo/Co-op,15.0,75750.0
4435,2012,1,Kern County,Condo/Co-op,36.0,75750.0
4850,2019,9,Kern County,Townhouse,22.0,76000.0
